ID,Variable 1,Dependency,Variable 2
1,Fault,->,F1
2,Fault,->,F97
3,Fault,->,F2
4,F97,->,F2
5,Fault,->,F78
6,F97,->,F78
7,Fault,->,F3
8,F97,->,F3
9,F78,->,F3
10,Fault,->,F4
11,F97,->,F4
12,Fault,->,F5
13,F97,->,F5
14,F2,->,F5
15,Fault,->,F53
16,Fault,->,F6
17,F53,->,F6
18,Fault,->,F7
19,Fault,->,F56
20,Fault,->,F8
21,F53,->,F8
22,F56,->,F8
23,Fault,->,F9
24,Fault,->,F10
25,Fault,->,F55
26,Fault,->,F52
27,F55,->,F52
28,Fault,->,F11
29,F52,->,F11
30,Fault,->,F12
31,Fault,->,F13
32,F8,->,F13
33,Fault,->,F14
34,Fault,->,F15
35,Fault,->,F16
36,F15,->,F16
37,Fault,->,F17
38,Fault,->,F18
39,F97,->,F18
40,F17,->,F18
41,Fault,->,F19
42,Fault,->,F41
43,Fault,->,F44
44,Fault,->,F20
45,F41,->,F20
46,F44,->,F20
47,Fault,->,F90
48,Fault,->,F21
49,F90,->,F21
50,Fault,->,F22
51,F21,->,F22
52,Fault,->,F23
53,Fault,->,F24
54,Fault,->,F25
55,Fault,->,F26
56,Fault,->,F27
57,Fault,->,F28
58,Fault,->,F92
59,F92,->,F29
60,Fault,->,F98
61,F97,->,F98
62,Fault,->,F30
63,F98,->,F30
64,Fault,->,F31
65,F41,->,F31
66,F44,->,F31
67,F20,->,F31
68,Fault,->,F32
69,F56,->,F32
70,Fault,->,F33
71,Fault,->,F34
72,Fault,->,F35
73,Fault,->,F36
74,Fault,->,F37
75,Fault,->,F84
76,F41,->,F84
77,F20,->,F84
78,Fault,->,F96
79,F41,->,F96
80,F84,->,F96
81,Fault,->,F38
82,F41,->,F38
83,F96,->,F38
84,Fault,->,F39
85,F41,->,F39
86,F84,->,F39
87,F96,->,F39
88,Fault,->,F40
89,F41,->,F40
90,F96,->,F40
91,Fault,->,F42
92,F97,->,F42
93,Fault,->,F43
94,Fault,->,F45
95,Fault,->,F46
96,Fault,->,F47
97,F44,->,F47
98,Fault,->,F85
99,F44,->,F85
100,F20,->,F85
101,Fault,->,F48
102,F44,->,F48
103,F85,->,F48
104,Fault,->,F49
105,F44,->,F49
106,Fault,->,F50
107,F44,->,F50
108,Fault,->,F51
109,Fault,->,F83
110,F41,->,F83
111,F84,->,F83
112,Fault,->,F54
113,F83,->,F54
114,Fault,->,F57
115,Fault,->,F58
116,Fault,->,F59
117,Fault,->,F60
118,Fault,->,F61
119,F53,->,F61
120,Fault,->,F62
121,F61,->,F62
122,Fault,->,F63
123,Fault,->,F64
124,Fault,->,F65
125,Fault,->,F66
126,F61,->,F66
127,Fault,->,F67
128,Fault,->,F68
129,Fault,->,F69
130,Fault,->,F72
131,F20,->,F86
132,F84,->,F86
133,F85,->,F86
134,F72,->,F86
135,Fault,->,F70
136,F72,->,F70
137,F86,->,F70
138,Fault,->,F71
139,F72,->,F71
140,Fault,->,F73
141,Fault,->,F74
142,F98,->,F74
143,F30,->,F74
144,Fault,->,F75
145,Fault,->,F76
146,Fault,->,F77
147,Fault,->,F79
148,Fault,->,F80
149,Fault,->,F81
150,F72,->,F81
151,F86,->,F81
152,Fault,->,F82
153,F44,->,F82
154,F85,->,F82
155,Fault,->,F87
156,F41,->,F87
157,F31,->,F87
158,Fault,->,F88
159,F44,->,F88
160,F31,->,F88
161,Fault,->,F89
162,F31,->,F89
163,F72,->,F89
164,F87,->,F89
165,F88,->,F89
166,Fault,->,F91
167,Fault,->,F93
168,F83,->,F93
169,F82,->,F93
170,Fault,->,F94
171,F41,->,F94
172,F96,->,F94
173,Fault,->,F95
174,F72,->,F95
175,Fault,->,F99
176,F98,->,F99
177,Fault,->,F100
178,F97,->,F100
179,F4,->,F100
180,Fault,->,F105
181,F97,->,F105
182,Fault,->,F101
183,F105,->,F101
184,Fault,->,F102
185,F105,->,F102
186,Fault,->,F103
187,F97,->,F103
188,Fault,->,F104
189,F97,->,F104
190,Fault,->,F106
191,F97,->,F106
192,Fault,->,F107
193,F41,->,F107
194,F44,->,F107
195,Fault,->,F108
