data,size,conf,missing,extra,reverse,shd,precision,recall,F1,statisfy,time
alarm,1000,1.00,3.00,2.00,1.00,6.00,0.93,0.91,0.92,20.00,1799.08
alarm,4000,1.00,2.17,0.67,0.17,3.00,0.98,0.95,0.97,20.00,1727.87
asia,250,1.00,0.00,0.17,0.00,0.17,0.98,1.00,0.99,9.00,10.74
asia,1000,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,9.00,10.49
barley,2000,1.00,39.67,22.67,19.83,82.17,0.37,0.29,0.32,10.50,4775.37
barley,8000,1.00,32.17,24.67,25.50,82.33,0.35,0.31,0.33,6.67,4434.54
cancer,250,1.00,1.17,1.17,0.00,2.33,0.71,0.71,0.71,5.00,5.45
cancer,1000,1.00,0.83,0.83,0.00,1.67,0.79,0.79,0.79,5.00,5.74
child,500,1.00,3.50,0.17,1.00,4.67,0.95,0.82,0.88,8.00,92.11
child,2000,1.00,0.00,0.00,1.00,1.00,0.96,0.96,0.96,8.00,86.76
insurance,500,1.00,17.50,4.17,5.33,27.00,0.75,0.56,0.64,10.00,413.92
insurance,2000,1.00,12.67,3.67,5.83,22.17,0.78,0.64,0.70,8.67,407.59
mildew,8000,1.00,14.33,15.33,19.50,49.17,0.26,0.26,0.26,7.33,1436.79
mildew,32000,1.00,9.33,26.17,24.50,60.00,0.19,0.26,0.22,6.17,1641.08
water,1000,1.00,39.67,7.33,11.67,58.67,0.44,0.22,0.29,9.00,1935.72
water,4000,1.00,32.17,4.17,12.00,48.33,0.57,0.33,0.42,8.83,2010.11
